# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Nov  9 07:29:35 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2 He CH4 H2O CO2 CO Rayleigh CIA
1.072450987e+00 9.83436e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95172e-01 9.99999e-01 9.99999e-01 9.93979e-01 9.94190e-01
1.077813242e+00 9.71252e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.84313e-01 9.99999e-01 9.99999e-01 9.94098e-01 9.92588e-01
1.083202308e+00 9.60812e-01 9.99993e-01 9.99999e-01 9.99829e-01 9.75247e-01 9.99999e-01 9.99999e-01 9.94214e-01 9.90943e-01
1.088618319e+00 9.42076e-01 9.99999e-01 9.99999e-01 9.86998e-01 9.67527e-01 9.99999e-01 9.99999e-01 9.94328e-01 9.88944e-01
1.094061411e+00 8.87311e-01 9.99999e-01 9.99999e-01 9.47410e-01 9.38280e-01 9.99999e-01 9.99999e-01 9.94440e-01 9.86078e-01
1.099531718e+00 8.56597e-01 9.99965e-01 9.99999e-01 9.52044e-01 8.94455e-01 9.99999e-01 9.99999e-01 9.94549e-01 9.82460e-01
1.105029377e+00 7.97850e-01 9.99999e-01 9.99999e-01 9.19122e-01 8.59394e-01 9.99999e-01 9.99999e-01 9.94657e-01 9.78404e-01
1.110554523e+00 6.75038e-01 9.99999e-01 9.99999e-01 8.05852e-01 8.02875e-01 9.99999e-01 9.99999e-01 9.94762e-01 9.72941e-01
1.116107296e+00 4.30281e-01 9.98991e-01 9.99999e-01 6.38070e-01 5.66320e-01 9.99999e-01 9.99999e-01 9.94865e-01 9.65247e-01
1.121687832e+00 2.54552e-01 9.99999e-01 9.99999e-01 3.94078e-01 4.47757e-01 9.99999e-01 9.99999e-01 9.94966e-01 9.56593e-01
1.127296272e+00 1.53206e-01 9.99999e-01 9.99999e-01 2.29407e-01 4.19343e-01 9.99999e-01 9.99999e-01 9.95065e-01 9.52443e-01
