# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Jul 20 10:20:22 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 CO2 CH4 CO HCN Rayleigh CIA
2.250000000e-01 2.99146e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.99146e-02 9.99999e-01
2.260000000e-01 3.18186e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.18186e-02 9.99999e-01
2.270000000e-01 3.37980e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.37980e-02 9.99999e-01
2.280000000e-01 3.58534e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.58534e-02 9.99999e-01
2.290000000e-01 3.79852e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.79852e-02 9.99999e-01
2.300000000e-01 4.01935e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.01935e-02 9.99999e-01
2.310000000e-01 4.24786e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.24786e-02 9.99999e-01
2.320000000e-01 4.48404e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.48404e-02 9.99999e-01
2.330000000e-01 4.72790e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.72790e-02 9.99999e-01
2.340000000e-01 4.97942e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.97942e-02 9.99999e-01
2.350000000e-01 5.23858e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.23858e-02 9.99999e-01
2.360000000e-01 5.50534e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.50534e-02 9.99999e-01
2.370000000e-01 5.77966e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.77966e-02 9.99999e-01
2.380000000e-01 6.06150e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.06150e-02 9.99999e-01
2.390000000e-01 6.35079e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.35079e-02 9.99999e-01
2.400000000e-01 6.64747e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.64747e-02 9.99999e-01
